Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Winchmore 2 Ews,42899,H31772,-43.78916,171.79029,164,H,Niwa
Winchmore Ews,4764,H31883,-43.79346,171.79512,160,H,Niwa/Agresearch
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),SoilM(%)
4764,20130101:0000,330,17.0,489,0.0,20.0,26.7,13.8,12.3,10.0,-,20.3,-,-,-,1000.8,-,-,24.33,12.6
4764,20130102:0000,342,16.0,456,16.1,16.7,22.1,10.2,10.9,13.7,-,19.1,-,-,-,994.1,-,-,19.18,14.9
4764,20130103:0000,200,14.0,278,9.8,11.7,20.1,4.4,3.4,8.4,-,17.9,-,-,-,1002.4,-,-,26.34,19.4
4764,20130104:0000,81,10.4,249,0.0,13.2,20.8,4.7,-1.2,8.7,-,18.5,-,-,-,1010.4,-,-,32.61,18.1
4764,20130105:0000,42,8.2,326,0.0,19.4,30.8,8.2,6.6,11.9,-,20.3,-,-,-,1011.6,-,-,32.01,16.8
4764,20130106:0000,216,8.9,238,0.0,15.7,23.1,11.6,11.0,13.9,-,19.3,-,-,-,1012.7,-,-,8.63,15.7
4764,20130107:0000,184,12.0,226,0.0,13.7,25.5,8.4,6.6,12.2,-,19.4,-,-,-,998.9,-,-,19.65,15.1
4764,20130108:0000,122,10.4,276,0.0,13.6,21.1,7.8,5.1,10.0,-,19.9,-,-,-,997.2,-,-,32.56,14.4
4764,20130109:0000,333,24.1,679,0.0,19.3,26.9,10.0,8.1,10.5,-,19.3,-,-,-,993.7,-,-,20.07,13.6
4764,20130110:0000,309,26.6,492,0.2,19.9,25.2,10.9,4.2,11.6,-,21.5,-,-,-,996.8,-,-,32.45,13.0
4764,20130111:0000,100,10.4,285,0.0,18.0,24.9,11.2,4.7,9.9,-,21.3,-,-,-,1010.3,-,-,32.80,12.3
4764,20130112:0000,312,8.6,185,0.0,19.8,30.3,10.2,4.7,9.6,-,21.4,-,-,-,1007.3,-,-,24.88,11.8
4764,20130113:0000,27,19.4,435,0.0,22.0,31.6,11.9,9.8,13.3,-,21.4,-,-,-,998.3,-,-,19.74,11.4
4764,20130114:0000,40,6.7,149,0.0,14.2,18.2,9.6,7.3,12.0,-,19.4,-,-,-,1001.1,-,-,11.80,11.2
4764,20130115:0000,145,9.3,196,6.1,12.3,14.6,9.2,5.7,12.9,-,17.7,-,-,-,1006.0,-,-,7.76,11.9
4764,20130116:0000,41,8.5,201,0.0,13.6,20.3,6.3,2.3,11.9,-,18.1,-,-,-,1002.2,-,-,22.44,12.7
4764,20130117:0000,265,11.0,210,22.1,9.2,12.5,4.9,3.3,10.6,-,15.4,-,-,-,998.4,-,-,7.70,16.8
4764,20130118:0000,200,7.8,242,0.0,10.2,17.0,2.3,-0.8,8.5,-,15.9,-,-,-,1005.3,-,-,32.18,20.3
4764,20130119:0000,333,16.8,371,0.0,16.0,29.5,8.4,8.1,10.9,-,18.2,-,-,-,998.4,-,-,27.76,19.0
4764,20130120:0000,338,9.7,202,0.0,14.9,26.8,6.5,0.3,11.3,-,19.3,-,-,-,1004.1,-,-,31.83,17.9
4764,20130121:0000,120,9.7,255,0.0,13.2,19.8,4.9,0.9,11.5,-,18.7,-,-,-,1015.4,-,-,25.36,16.9
4764,20130122:0000,90,7.6,218,0.0,16.4,25.4,6.5,1.9,13.9,-,19.8,-,-,-,1018.3,-,-,31.27,16.1
4764,20130123:0000,332,13.4,379,0.0,21.3,29.0,10.8,4.6,10.5,-,20.6,-,-,-,1014.2,-,-,30.88,15.1
4764,20130124:0000,213,8.8,182,0.0,13.8,19.1,10.2,10.4,11.0,-,18.9,-,-,-,1027.2,-,-,9.70,14.5
4764,20130125:0000,71,9.9,299,0.0,13.6,21.7,4.2,-1.2,11.1,-,18.8,-,-,-,1031.9,-,-,30.93,14.1
4764,20130126:0000,67,9.8,378,0.0,15.8,24.2,8.9,7.7,12.5,-,19.7,-,-,-,1030.0,-,-,31.01,13.5
4764,20130127:0000,39,7.0,234,0.0,18.1,27.4,10.1,8.4,14.9,-,21.4,-,-,-,1031.9,-,-,30.40,12.9
4764,20130128:0000,119,6.6,185,0.0,17.6,26.9,7.2,4.3,14.4,-,21.7,-,-,-,1030.6,-,-,30.47,12.4
4764,20130129:0000,123,7.2,156,0.0,16.7,24.0,12.9,11.0,16.0,-,21.3,-,-,-,1026.2,-,-,18.10,12.0
4764,20130130:0000,84,7.0,200,0.0,19.6,29.6,12.6,9.2,16.0,-,22.2,-,-,-,1020.6,-,-,27.74,11.7
4764,20130131:0000,113,10.0,281,0.0,22.0,30.6,11.9,5.1,9.2,-,21.9,-,-,-,1018.4,-,-,30.21,11.2
4764,20130201:0000,144,7.4,174,0.0,20.1,30.2,8.7,3.7,14.6,-,22.3,-,-,-,1013.6,-,-,28.83,10.7
4764,20130202:0000,228,5.4,181,0.0,17.5,25.3,12.3,8.7,16.1,-,22.1,-,-,-,1009.2,-,-,21.15,10.4
4764,20130203:0000,120,9.8,233,0.0,17.6,25.0,10.1,5.0,13.8,-,21.8,-,-,-,1010.7,-,-,24.08,10.2
4764,20130204:0000,192,14.4,202,13.2,14.4,18.4,8.3,7.8,14.9,-,19.3,-,-,-,1002.8,-,-,4.78,11.7
